GeneID	Ensembl_protein_identifier
11836	-
11837	ENSMUSP00000083705.6
11838	ENSMUSP00000105636.4
11838	ENSMUSP00000023268.7
11839	ENSMUSP00000031325.5
11840	ENSMUSP00000126120.2
11840	ENSMUSP00000079905.7
11841	ENSMUSP00000051814.4
11841	ENSMUSP00000102622.3
11842	ENSMUSP00000050689.10
11843	ENSMUSP00000022429.3
11844	ENSMUSP00000020717.6
11845	ENSMUSP00000055862.8
11846	ENSMUSP00000020161.9
11847	ENSMUSP00000021550.7
11848	ENSMUSP00000141967.2
11848	ENSMUSP00000007959.9
11852	ENSMUSP00000067013.5
11853	ENSMUSP00000102399.2
11853	ENSMUSP00000002303.6
11854	ENSMUSP00000036031.4
11854	ENSMUSP00000112607.2
11855	ENSMUSP00000106353.2
11855	ENSMUSP00000151809.2
11856	ENSMUSP00000107755.2
11856	ENSMUSP00000033721.7
11856	ENSMUSP00000107759.3
11856	-
11857	ENSMUSP00000107522.2
11857	ENSMUSP00000107523.2
11857	ENSMUSP00000032344.6
11858	ENSMUSP00000001347.7
11859	ENSMUSP00000008090.9
11861	ENSMUSP00000099013.4
11861	ENSMUSP00000114458.2
11863	ENSMUSP00000099810.5
11863	ENSMUSP00000102779.2
11863	ENSMUSP00000088313.6
11864	ENSMUSP00000146413.2
11864	ENSMUSP00000082154.4
11864	ENSMUSP00000147129.2
11865	ENSMUSP00000147764.2
11865	ENSMUSP00000147823.2
11865	ENSMUSP00000046235.8
11867	ENSMUSP00000082822.7
11870	ENSMUSP00000148204.2
11870	ENSMUSP00000033300.3
11871	-
11872	ENSMUSP00000065658.3
11872	ENSMUSP00000147267.2
11875	ENSMUSP00000091678.3
11875	ENSMUSP00000102547.2
11875	ENSMUSP00000102548.2
11875	ENSMUSP00000102550.2
11876	ENSMUSP00000095526.3
11876	ENSMUSP00000064521.3
11877	ENSMUSP00000159427.2
11877	ENSMUSP00000159425.2
11877	ENSMUSP00000159428.2
11877	ENSMUSP00000159438.2
11877	ENSMUSP00000159437.2
11877	ENSMUSP00000159426.2
11878	ENSMUSP00000109580.3
11878	ENSMUSP00000049039.8
11881	ENSMUSP00000088964.5
11883	ENSMUSP00000127646.2
11886	ENSMUSP00000034000.9
11889	ENSMUSP00000121842.3
11889	ENSMUSP00000104226.3
11889	ENSMUSP00000018699.7
11890	ENSMUSP00000136505.2
11890	ENSMUSP00000099632.2
11891	ENSMUSP00000139310.2
11891	ENSMUSP00000034722.4
11898	ENSMUSP00000099904.5
11899	ENSMUSP00000142322.2
11899	ENSMUSP00000039711.11
11899	ENSMUSP00000141518.2
11899	ENSMUSP00000127428.2
11899	ENSMUSP00000142017.2
11905	ENSMUSP00000068971.6
11906	ENSMUSP00000044612.9
11906	ENSMUSP00000152353.2
11907	ENSMUSP00000091556.4
11907	ENSMUSP00000043365.8
11907	ENSMUSP00000136956.2
11907	ENSMUSP00000148888.2
11907	ENSMUSP00000033139.8
11908	ENSMUSP00000023769.5
11909	ENSMUSP00000107641.3
11909	-
11909	ENSMUSP00000107647.3
11909	-
11909	ENSMUSP00000107638.2
11909	ENSMUSP00000107648.2
11909	ENSMUSP00000088311.5
11909	ENSMUSP00000133632.2
11909	ENSMUSP00000097588.5
11909	ENSMUSP00000118560.2
11910	ENSMUSP00000027941.9
11911	ENSMUSP00000105234.4
11920	ENSMUSP00000113388.3
11921	ENSMUSP00000098903.5
11922	ENSMUSP00000047016.9
11923	ENSMUSP00000051379.4
11924	ENSMUSP00000029587.8
11925	ENSMUSP00000054054.2
11927	ENSMUSP00000104485.2
11928	ENSMUSP00000039657.7
11931	ENSMUSP00000027863.8
11932	ENSMUSP00000047353.7
11933	ENSMUSP00000034983.6
11936	ENSMUSP00000035429.6
11936	-
11937	ENSMUSP00000032974.7
11938	ENSMUSP00000031423.9
